epoch;loss;train_auc_scores;train_ave_auc_macro;train_ave_auc_micro;train_ave_auc_weighted;val_auc_scores;val_ave_auc_macro;val_ave_auc_micro;val_ave_auc_weighted;val_loss
10;0.34968993189396;"""[0.8252100929213234, 0.9344716500860474, 0.791759951881158, 0.712244088524685, 0.8076729085153346, 0.7226530680962479, 0.7317450393768536, 0.7534271705069124, 0.7800024078814215, 0.8004477489298665, 0.8941042366660502, 0.8037975689633804, 0.7313034295639378, 0.6947711609947957, 0.765385655558815, 0.7660021966396623, 0.8002907132437009, 0.7738935300411607, 0.7158137442540489, 0.7955963242652191, 0.7224360263982094, 0.82646238897613, 0.9124394554689899, 0.8605792490791099, 0.9037915026552441]""";0.7930520523795321;0.8364660777626113;0.7796048040231285;"""[0.8054215427017652, 0.9175452472865118, 0.7662688251517651, 0.6753417556649438, 0.7735667303842623, 0.6955633566302193, 0.718248145412011, 0.7170850125825434, 0.7391474598423504, 0.7748939343929891, 0.8675540765391014, 0.7866321004776612, 0.7103045819684465, 0.6623401401130274, 0.7537779315595128, 0.7428839189724439, 0.7714487256719383, 0.7416985484499062, 0.6966959007195336, 0.7435799946798807, 0.6976026336054685, 0.8133696480242144, 0.8912827331155552, 0.8312503924079102, 0.8742939050284306]""";0.7667118896552957;0.8180355910487559;0.753736400493931;0.3479676180545622
11;0.34843089568309293;"""[0.8268634799981481, 0.9333976422412322, 0.798678507936508, 0.7207104415380337, 0.8114974940096759, 0.7259574122479137, 0.7338190832065057, 0.7578381122104564, 0.7858129926928967, 0.8076990121441237, 0.8991066773722228, 0.8043747554855516, 0.7355256497500033, 0.6953671589331201, 0.7671560901320484, 0.7683621812322421, 0.8054837202245486, 0.7795917976866923, 0.7180566127149122, 0.7956977813306051, 0.7268547786139002, 0.8270167425031042, 0.9143786464158339, 0.8624779889633707, 0.9047037619477638]""";0.7962571408612567;0.8396034593828089;0.7831023106741056;"""[0.807303057994965, 0.9171638940757086, 0.7633164513670593, 0.679290668479573, 0.7710145961108733, 0.694481102522017, 0.7189588876767077, 0.7197129769023954, 0.7433328597938327, 0.7789557252414685, 0.8757773522365245, 0.7783998739532219, 0.7133885114413607, 0.6594530005310675, 0.7481358575673704, 0.7493850620997442, 0.7702911266071323, 0.7408718515810093, 0.6857585322252111, 0.7480842753745809, 0.6967480140988678, 0.8060610880118753, 0.8924342007074004, 0.8273158579071175, 0.8753561597441686]""";0.7664396393700501;0.8186612922722465;0.7538240712714257;0.3484632309705716
12;0.34735965817606346;"""[0.8300917078017693, 0.9371841149695732, 0.8018888365118059, 0.7160920691830812, 0.8171674891412638, 0.7318523296262285, 0.73559292165767, 0.7581764106208414, 0.784576399037856, 0.8081601605898394, 0.901283983127301, 0.8108411919526883, 0.7363512565282055, 0.6993470796573494, 0.7693130459095393, 0.7710507659518684, 0.8107048484003013, 0.7807236120008274, 0.718625905478764, 0.8004994980730312, 0.729626672218694, 0.8290698216144037, 0.9161670227030967, 0.864532020316761, 0.9080811404412324]""";0.7986800121405598;0.8414992907672985;0.7850723545790537;"""[0.8031794285030549, 0.9190605584517603, 0.768969433496001, 0.6721065554368216, 0.7751859422764779, 0.6991227918756338, 0.7203582497536728, 0.7112519202969153, 0.7376116242459704, 0.7774172205774932, 0.8729962787123903, 0.7765558341395749, 0.7156297122273167, 0.6668930778783257, 0.7526643942831356, 0.7429467747743967, 0.7713767502074401, 0.7437556231397547, 0.6928867012592341, 0.7466787553148967, 0.6971979619148237, 0.8083653314551005, 0.8919379022088129, 0.8280678049646948, 0.8727942067412207]""";0.7666004333653968;0.8179470468800123;0.7541228569320443;0.34825248724857427
13;0.3453500797320635;"""[0.831913357967512, 0.9371216834708246, 0.8088948043680297, 0.7226956026729949, 0.8209844241880628, 0.7351747306453432, 0.7411363268523085, 0.7665823185361885, 0.7884017305699749, 0.8117261369138985, 0.9038387354145163, 0.8116107632610179, 0.7388306366660145, 0.704877134983087, 0.7715312033412685, 0.7858331292526524, 0.8140367956025718, 0.7876525449320443, 0.7211409965704273, 0.8022435917305207, 0.7323530607218361, 0.8314665393868096, 0.9181772958971817, 0.866731170087853, 0.9102237459850805]""";0.8026071384007208;0.8435060328697943;0.7889135471359058;"""[0.8050935010230773, 0.9180216106798954, 0.7661535371880621, 0.6781920262858679, 0.7703194657506407, 0.6993611394585817, 0.7237476353052944, 0.7106199952967849, 0.7375798846796923, 0.7776389176495218, 0.8714273855833111, 0.7815686829682641, 0.7089089490275061, 0.6648561573713643, 0.7527736598346227, 0.7552359831215958, 0.7688867877568609, 0.7389699567743967, 0.6844624412007178, 0.731782731090498, 0.699127911351751, 0.8019205774497516, 0.8922092562738592, 0.828241109269387, 0.8763943236327608]""";0.7657397450409625;0.818134077386993;0.7537850891032011;0.3472146410205603
14;0.34442248979796714;"""[0.8314349580926704, 0.9392439861390447, 0.810169022250403, 0.729859561069725, 0.8209931884933447, 0.7356021066592044, 0.7423080477818412, 0.7681347193799335, 0.7911007658434651, 0.8122318315191775, 0.9041442801600083, 0.8109930312255598, 0.7422164732032678, 0.7092356052224376, 0.7728946671090549, 0.7885254188787609, 0.8151574793256556, 0.7877822522323681, 0.7224776066323045, 0.8014925220634403, 0.7300172817381252, 0.8308229013933809, 0.918454653238783, 0.8668572223406978, 0.9102507542147293]""";0.8036960134482953;0.8440637131376905;0.7906231250353203;"""[0.8078671034529047, 0.9193316373514567, 0.7640793346438508, 0.6802290744995632, 0.7759072231671158, 0.6934819528116116, 0.7188575375083446, 0.7124511589204313, 0.73980763383836, 0.7750732521431549, 0.8761108030146233, 0.778565065082634, 0.7126019492693069, 0.6648027991208046, 0.7562877595929645, 0.7611672598066519, 0.7681055158975366, 0.7470386764186682, 0.6838109759027269, 0.7407023253935426, 0.7012468041275592, 0.8105573372257797, 0.8922206665923386, 0.828011214535825, 0.8804457973291437]""";0.7675504343058759;0.8185802295632905;0.7549365017960616;0.3474746057057639
15;0.3435554390931741;"""[0.8362536055568262, 0.9396771581610459, 0.8149712900939148, 0.729199379903155, 0.8263251491817434, 0.7406450772216758, 0.74391738838167, 0.7708982857142858, 0.7953528778125927, 0.8186646999091444, 0.9083909170268081, 0.8153837671899183, 0.742923141033045, 0.7101467848476853, 0.7741710479631003, 0.792813776231932, 0.8199364937817034, 0.7959434077191412, 0.7284568991380864, 0.8095282055794468, 0.7364224539920998, 0.835873098976476, 0.9216099931483772, 0.8725900044539986, 0.9156302070961861]""";0.8078290044045623;0.848057404160233;0.7940329737906292;"""[0.8079145358503272, 0.9170945377125109, 0.7696407223540188, 0.6808430902127747, 0.7736446751370215, 0.6949432705236196, 0.7266671660612657, 0.7059812233182992, 0.7409948290570181, 0.7795086157605687, 0.8710533667039319, 0.7797071991026651, 0.71288071081256, 0.6676736267897015, 0.7568343883688645, 0.7574584092852643, 0.7697703649299066, 0.7460757064330421, 0.6872976363611508, 0.7368574717745291, 0.7018190774721133, 0.8118885411498289, 0.8951077976471148, 0.8310237488582279, 0.8802573653911276]""";0.7681175230826982;0.820020778051147;0.7562071722794553;0.34804384479379
16;0.3426334639003134;"""[0.8372952981213829, 0.9409738232900686, 0.82087701850782, 0.7330653596257026, 0.8302639654076257, 0.7428640905634258, 0.746026306561343, 0.7770956565019469, 0.7984068825651904, 0.8201120944067662, 0.9093926204712011, 0.8228911277690437, 0.7447154620850559, 0.7096452836033744, 0.7756911165705467, 0.7919923520980616, 0.8225724163064893, 0.7944788075183168, 0.7311823728160672, 0.8124607234198028, 0.7357110003951755, 0.835984759769706, 0.9214721120144528, 0.8741413555739966, 0.9165850048495754]""";0.8098358804324856;0.8487401256325957;0.795955058810165;"""[0.8053565690541133, 0.9164900378490323, 0.7659667945432259, 0.6853060703806971, 0.7701408959537572, 0.6951269391645047, 0.72434242505578, 0.7150817301188483, 0.7432275911489149, 0.7783093718009689, 0.8721274897942408, 0.7848587122503261, 0.7115378483900171, 0.6617019239388185, 0.7562382077423668, 0.758847195845942, 0.7708336688927497, 0.74067386771603, 0.6865193256690071, 0.7290591245344913, 0.7029965198326197, 0.8057572979609767, 0.8918061933951735, 0.8298148748626076, 0.8759212311647504]""";0.7671216762823984;0.8187984456020675;0.75534796424101;0.3486272085828172
17;0.34166335512226464;"""[0.8384815204450946, 0.9403183339062245, 0.8227741691708875, 0.7378982722789555, 0.832641479320547, 0.7477271386060577, 0.7476097016116391, 0.7781653017740959, 0.800299335214729, 0.8206678823018966, 0.9117825843116363, 0.8179624858826271, 0.7449911145930737, 0.7140720419461011, 0.7781286150925671, 0.7995952031176766, 0.8277633180449282, 0.8018432455604249, 0.729886274777859, 0.8109880233550606, 0.7339477908117528, 0.8364027378046737, 0.9223938175713914, 0.8761864642209286, 0.9169552773177567]""";0.8115792851615434;0.8498652299674957;0.7978987648350093;"""[0.805048854962746, 0.9171852712281149, 0.7607663438052192, 0.683714371324342, 0.7693264122044927, 0.6971726554117095, 0.7212950800003691, 0.7107700679020862, 0.7437548669793701, 0.7779999931733004, 0.8730274077450313, 0.7838930193428916, 0.7142565068100488, 0.6694442949259822, 0.7544198556436563, 0.7490602134065633, 0.7657301365477138, 0.7415689981096408, 0.686986362068763, 0.7461386457488939, 0.6955796552223635, 0.809413223223626, 0.8935076876168143, 0.8323027522323697, 0.8760893476010442]""";0.7671380809294861;0.8193192761374595;0.7559106857670406;0.34798132628085493
18;0.340333554783438;"""[0.8400801566983728, 0.9433454284744206, 0.8253247724546243, 0.7414992470121657, 0.8374252808946382, 0.7474724831906542, 0.7483889081126199, 0.7807070873692178, 0.8013719500642618, 0.8237506514088087, 0.9081138974904975, 0.8226459856545771, 0.7481352043083078, 0.7167965689637259, 0.7785674861032694, 0.802136450841585, 0.8313750433970537, 0.8012744426454104, 0.7301226842709129, 0.8161968155847834, 0.7401308395494033, 0.8400215048019894, 0.9239475824928248, 0.8729588285549926, 0.9192594419467118]""";0.813641949691433;0.8519488021779981;0.8000429183031217;"""[0.8035924267107135, 0.9194205163320548, 0.7665106398977367, 0.6839707711442785, 0.7649475824999554, 0.698495187869633, 0.720953635489434, 0.7043822331484207, 0.7375037443605928, 0.7758917160912738, 0.8693111134821514, 0.7840685991828125, 0.7074412458558801, 0.6664564883614209, 0.7536977503086814, 0.7661527718511503, 0.7643329216654138, 0.7326017184811151, 0.6808326170237602, 0.7383873164462262, 0.69553494391717, 0.8090524180145429, 0.8913893120488005, 0.8268754697971269, 0.8756655106725931]""";0.7654987460261176;0.8182825173721215;0.7536647720181398;0.3479561893340464
19;0.3394612665634889;"""[0.8437482081447893, 0.9445185314555511, 0.8259081022530461, 0.742091272039765, 0.8406222863981011, 0.7476163894475956, 0.7529315123604032, 0.7804129989056405, 0.8058647146713109, 0.8234879391854415, 0.9153531514175522, 0.8303078785267641, 0.7505404680808725, 0.7205678159239114, 0.781261588638015, 0.8070311699676155, 0.8354252529596443, 0.8062471790368569, 0.7366543883326876, 0.8217310289337516, 0.7432190102326011, 0.8428122547976553, 0.9248713605141987, 0.8789476074642677, 0.9221146152542596]""";0.8169714689976919;0.8544408863078715;0.8030991024289312;"""[0.8035099676162265, 0.9169057319074293, 0.7631685121674786, 0.682324221336063, 0.76785864638669, 0.6925657510986101, 0.7176664395501866, 0.6952436410037632, 0.7356112544998228, 0.7778866884510691, 0.8737122536404451, 0.7869249201486043, 0.7104202497118477, 0.6668111407859595, 0.7542653105388444, 0.7625991673702778, 0.7608231664977017, 0.734354328444061, 0.684764645667242, 0.7422550298779014, 0.6955189077882967, 0.8105572344199895, 0.8910604518981706, 0.833557328647025, 0.8756495721822999]""";0.7654405824654402;0.8182318201246894;0.7539230667794602;0.34829448887868125
20;0.33845247034639375;"""[0.8452181804403361, 0.9452475641817439, 0.8312935061668236, 0.7419609601838641, 0.8416563521883762, 0.7505672217462013, 0.7530075343336261, 0.7813042047372973, 0.8092067061139029, 0.8261305457404472, 0.9161100760816925, 0.82732365949274, 0.7493407429439205, 0.7218780563272738, 0.782857242376676, 0.8023304306924762, 0.8374685500540276, 0.8090392046638326, 0.7355434234234235, 0.8246608112852292, 0.7409018398821775, 0.8417664016055666, 0.9247742285179708, 0.8790479481905434, 0.9213020466086493]""";0.8175974975191527;0.8547216816682238;0.80386400312013;"""[0.8041035133803234, 0.9147362097159824, 0.759236561022588, 0.6821263586863369, 0.7654123471535829, 0.6907317977046636, 0.717991806474995, 0.7101377369385078, 0.744548406865702, 0.7756454689006008, 0.8733114654947174, 0.7799771648455859, 0.7110761190029482, 0.6690094145624387, 0.7522620951555029, 0.7574996421317891, 0.7669144912595112, 0.7411017732441796, 0.6916557492747542, 0.7410061309547213, 0.6920322768819002, 0.8093447505426941, 0.8931392660771162, 0.8292188017369984, 0.8729390877098858]""";0.765806337428721;0.8188206432695627;0.754165300802421;0.34822362972669896
21;0.3366129979577839;"""[0.8435667844678805, 0.9470984701761688, 0.8327048867110589, 0.7476417474676703, 0.8475064142243733, 0.7570488583101777, 0.752858109692815, 0.7860163188384123, 0.8105068901010942, 0.8297820047870019, 0.9164427810329371, 0.8336193108791831, 0.7538904388649333, 0.725866370227751, 0.7833881274945056, 0.8102302813626857, 0.8408301692388955, 0.8129000657440808, 0.7434779869553749, 0.8242089560167019, 0.7460879123019729, 0.8462570783567636, 0.9265256812614798, 0.87928637739687, 0.9220353835578073]""";0.8207910962187438;0.8560940832496176;0.8069876975483474;"""[0.8060257207302713, 0.9125728541764037, 0.7626837392097916, 0.6806997875050805, 0.7718656304159912, 0.6923393074601578, 0.7115709196285755, 0.6943511755268378, 0.7415107907293537, 0.780154106165816, 0.8681957181268876, 0.788315581009474, 0.7118343524166696, 0.6669316763809736, 0.756514659984535, 0.7649234581322866, 0.7740751333203716, 0.7398224721545867, 0.6828948759261098, 0.7348985904469039, 0.6932661657559199, 0.8037025855817802, 0.8909940853916469, 0.8259262270211081, 0.8674846192673018]""";0.7649421692985934;0.8176787838220214;0.7541679521976191;0.3495977484175108
22;0.33632711362838746;"""[0.8478357562861022, 0.9468120228179269, 0.837256968815382, 0.7483695999249933, 0.8523411922809232, 0.7557595117562033, 0.7571378281732142, 0.7846737944674865, 0.8146968406383923, 0.831841202132781, 0.9182906989131789, 0.8348606735258726, 0.7549142691506943, 0.7271086186250537, 0.7857194192933525, 0.8145076924257657, 0.8483214038094645, 0.8109566421981282, 0.7443192699564825, 0.830182941606781, 0.7419589054295683, 0.8450246163200793, 0.9272472075491264, 0.8814308020879948, 0.9268141317356936]""";0.8227352803968256;0.8590660259007319;0.8089727275303463;"""[0.8054560924060261, 0.9123068693162151, 0.7690999091816936, 0.6867765472582724, 0.7657748318998546, 0.6923255758076258, 0.7187307988151656, 0.7016024164876873, 0.7418510908467119, 0.7793181365774312, 0.8772877339105181, 0.7883258918856064, 0.7092897789751486, 0.6665325239172044, 0.755758561401021, 0.760808505783292, 0.7675401857686839, 0.7452810802306097, 0.6796829044312126, 0.7369847663778979, 0.6960332993193038, 0.8097840100128085, 0.8942969855075301, 0.8300817037341254, 0.8761688577824018]""";0.7666839623053621;0.8186292761879499;0.755624354940514;0.3491972863225094
